"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\account\addresses\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\account\details\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\account\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\brands\[id]\page.tsx", "TypeScript JSX", 10, 0, 0, 0, 3, 13
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\brands\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\cart\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\categories\[id]\page.tsx", "TypeScript JSX", 10, 0, 0, 0, 3, 13
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\categories\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\checkout\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\devtools\page.tsx", "TypeScript JSX", 64, 0, 0, 1, 10, 75
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\forgot-password\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\layout.tsx", "TypeScript JSX", 11, 0, 0, 0, 1, 12
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\loading.tsx", "TypeScript JSX", 34, 0, 0, 5, 5, 44
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\login\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\orders\[id]\page.tsx", "TypeScript JSX", 5, 0, 0, 0, 2, 7
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\product\[id]\ProductDetailsClient.tsx", "TypeScript JSX", 9, 0, 0, 0, 3, 12
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\product\[id]\page.tsx", "TypeScript JSX", 8, 0, 0, 0, 2, 10
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\products\[id]\page.tsx", "TypeScript JSX", 5, 0, 0, 0, 2, 7
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\reset-password\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\search\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\signup\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\verify-reset-code\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\(shop)\wishlist\page.tsx", "TypeScript JSX", 4, 0, 0, 0, 1, 5
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\layout.tsx", "TypeScript JSX", 33, 0, 0, 0, 4, 37
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\app\not-found.tsx", "TypeScript JSX", 138, 0, 0, 8, 19, 165
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\components\layout\MainLayout.tsx", "TypeScript JSX", 488, 0, 0, 24, 70, 582
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\components\ui\ContextMenu.tsx", "TypeScript JSX", 120, 0, 0, 9, 24, 153
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\components\ui\ScrollRestorer.tsx", "TypeScript JSX", 43, 0, 0, 6, 17, 66
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\account\screens\AccountDashboardScreen.tsx", "TypeScript JSX", 357, 0, 0, 7, 29, 393
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\account\screens\AccountDetailsScreen.tsx", "TypeScript JSX", 271, 0, 0, 8, 26, 305
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\account\screens\AddressesScreen.tsx", "TypeScript JSX", 371, 0, 0, 6, 33, 410
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\api\auth.api.ts", "TypeScript", 0, 18, 0, 0, 5, 23
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\components\AuthMarketingSide.tsx", "TypeScript JSX", 40, 0, 0, 1, 2, 43
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\components\AuthSocialButtons.tsx", "TypeScript JSX", 26, 0, 0, 2, 5, 33
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\components\LoginForm.tsx", "TypeScript JSX", 149, 0, 0, 1, 24, 174
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\components\OtpInput.tsx", "TypeScript JSX", 82, 0, 0, 2, 16, 100
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\components\SignUpForm.tsx", "TypeScript JSX", 453, 0, 0, 15, 41, 509
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\hooks\useAuthToken.ts", "TypeScript", 0, 22, 0, 4, 8, 34
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\hooks\useLogin.ts", "TypeScript", 0, 7, 0, 0, 1, 8
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\hooks\useSignup.ts", "TypeScript", 0, 7, 0, 0, 1, 8
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\ForgotPasswordScreen.tsx", "TypeScript JSX", 178, 0, 0, 218, 84, 480
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\LoginScreen.tsx", "TypeScript JSX", 82, 0, 0, 4, 11, 97
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\RegisterScreen.tsx", "TypeScript JSX", 7, 0, 0, 0, 0, 7
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\ResetPasswordScreen.tsx", "TypeScript JSX", 232, 0, 0, 6, 15, 253
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\SignUpScreen.tsx", "TypeScript JSX", 59, 0, 0, 4, 8, 71
"c:\Users\M-\Desktop\React route\Applications\my-shop\src\features\auth\screens\VerifyResetCodeScreen.tsx", "TypeScript JSX", 165, 0, 0, 5, 31, 201
