Date : 2026-03-07 22:31:58
Directory : c:\Users\M-\Desktop\React route\Applications\my-shop\src
Total : 133 files,  10735 codes, 513 comments, 1570 blanks, all 12818 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         89 |      9,498 |        468 |      1,327 |     11,293 |
| TypeScript     |         43 |      1,049 |         26 |        193 |      1,268 |
| PostCSS        |          1 |        188 |         19 |         50 |        257 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        133 |     10,735 |        513 |      1,570 |     12,818 |
| app                                                                                                                     |         26 |        387 |         14 |         69 |        470 |
| app (Files)                                                                                                             |          2 |        171 |          8 |         23 |        202 |
| app\(shop)                                                                                                              |         24 |        216 |          6 |         46 |        268 |
| app\(shop) (Files)                                                                                                      |          3 |         49 |          5 |          7 |         61 |
| app\(shop)\account                                                                                                      |          3 |         12 |          0 |          3 |         15 |
| app\(shop)\account (Files)                                                                                              |          1 |          4 |          0 |          1 |          5 |
| app\(shop)\account\addresses                                                                                            |          1 |          4 |          0 |          1 |          5 |
| app\(shop)\account\details                                                                                              |          1 |          4 |          0 |          1 |          5 |
| app\(shop)\brands                                                                                                       |          2 |         14 |          0 |          4 |         18 |
| app\(shop)\brands (Files)                                                                                               |          1 |          4 |          0 |          1 |          5 |
| app\(shop)\brands\[id]                                                                                                  |          1 |         10 |          0 |          3 |         13 |
| app\(shop)\cart                                                                                                         |          1 |          4 |          0 |          1 |          5 |
| app\(shop)\categories                                                                                                   |          2 |         14 |          0 |          4 |         18 |
| app\(shop)\categories (Files)                                                                                           |          1 |          4 |          0 |          1 |          5 |
| app\(shop)\categories\[id]                                                                                              |          1 |         10 |          0 |          3 |         13 |
| app\(shop)\checkout                                                                                                     |          1 |          4 |          0 |          1 |          5 |
| app\(shop)\devtools                                                                                                     |          1 |         64 |          1 |         10 |         75 |
| app\(shop)\forgot-password                                                                                              |          1 |          4 |          0 |          1 |          5 |
| app\(shop)\login                                                                                                        |          1 |          4 |          0 |          1 |          5 |
